date;LEVEL2;ACTUAL;Europe_Business_confidence_index;Europe_Consumer_confidence_index;Germany_Business_confidence_index;Germany_Composite_leading_indicator;Germany_Consumer_confidence_index;Global_Business_confidence_index;Global_Consumer_confidence_index;month;quarter;year
2016-03-01;PF_A;304;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_B;360;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_C;285;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_D;445;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_E;1402;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_F;456;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_G;637;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_H;138;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_I;3363;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_J;534;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_K;340;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_L;54;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_M;575;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_N;154;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_O;5292;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-04-01;PF_A;275;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_B;329;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_C;259;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_D;481;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_E;1374;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_F;481;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_G;609;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_H;146;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_I;3656;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_J;545;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_K;302;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_L;87;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_M;496;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_N;132;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_O;5888;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-05-01;PF_A;293;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_B;356;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_C;277;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_D;464;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_E;1512;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_F;472;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_G;558;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_H;152;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_I;3316;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_J;573;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_K;302;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_L;59;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_M;586;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_N;148;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_O;5133;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-06-01;PF_A;250;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_B;312;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_C;229;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_D;475;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_E;1268;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_F;428;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_G;586;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_H;154;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_I;3471;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_J;548;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_K;319;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_L;51;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_M;477;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_N;176;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_O;5314;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-07-01;PF_A;232;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_B;419;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_C;318;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_D;510;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_E;1378;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_F;484;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_G;598;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_H;157;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_I;3578;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_J;535;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_K;307;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_L;63;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_M;594;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_N;138;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-07-01;PF_O;5861;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
2016-08-01;PF_A;220;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_B;360;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_C;249;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_D;451;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_E;1338;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_F;401;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_G;561;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_H;217;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_I;3499;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_J;528;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_K;276;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_L;129;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_M;470;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_N;161;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-08-01;PF_O;5581;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
2016-09-01;PF_A;256;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_B;337;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_C;274;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_D;458;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_E;1397;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_F;480;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_G;604;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_H;159;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_I;3482;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_J;601;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_K;352;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_L;92;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_M;447;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_N;155;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-09-01;PF_O;5587;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
2016-10-01;PF_A;286;100.9;101.2;100.8;99.8;101.3;100.2;100.4;10;4;2016
2016-10-01;PF_B;334;100.9;101.2;100.8;99.8;101.3;100.2;100.4;10;4;2016
2016-10-01;PF_C;340;100.9;101.2;100.8;99.8;101.3;100.2;100.4;10;4;2016
2016-10-01;PF_D;475;100.9;101.2;100.8;99.8;101.3;100.2;100.4;10;4;2016
