date;country;grocery_pharmacy;parks;residential;retail_recreation;transit_stations;workplaces;weekday;monthday;week;month;quarter;year
2020-03-11;Thailand;0.0;-8.0;4.0;-4.0;-15.0;-7.0;2;11;11;3;1;2020
2020-03-12;South Korea;-4.0;21.0;8.0;-23.5;-20.0;-7.0;3;12;11;3;1;2020
2020-03-12;Thailand;-1.0;-9.0;4.0;-6.0;-15.0;-7.0;3;12;11;3;1;2020
2020-03-13;South Korea;-4.0;5.5;9.5;-24.0;-19.5;-7.0;4;13;11;3;1;2020
2020-03-13;Thailand;0.0;-12.0;5.0;-8.0;-17.0;-7.0;4;13;11;3;1;2020
2020-03-14;South Korea;1.5;9.0;9.0;-25.5;-21.0;-5.5;5;14;11;3;1;2020
2020-03-14;Thailand;-1.0;-21.0;3.0;-11.0;-20.0;3.0;5;14;11;3;1;2020
2020-03-15;South Korea;1.5;1.0;9.0;-29.0;-29.0;-12.5;6;15;11;3;1;2020
2020-03-15;Thailand;-1.0;-22.0;4.0;-15.0;-23.0;-2.0;6;15;11;3;1;2020
2020-03-16;South Korea;1.5;24.5;8.0;-18.0;-16.5;-6.0;0;16;12;3;1;2020
2020-03-16;Thailand;4.0;-14.0;5.0;-8.0;-18.0;-10.0;0;16;12;3;1;2020
2020-03-17;South Korea;-4.0;14.0;6.5;-18.5;-16.0;-6.0;1;17;12;3;1;2020
2020-03-17;Thailand;1.0;-15.0;6.0;-9.0;-21.0;-12.0;1;17;12;3;1;2020
2020-03-18;South Korea;-0.5;47.5;7.5;-20.0;-16.0;-6.5;2;18;12;3;1;2020
2020-03-18;Thailand;-3.0;-16.0;7.0;-12.0;-24.0;-13.0;2;18;12;3;1;2020
2020-03-19;South Korea;-13.0;-17.0;9.5;-28.5;-25.0;-7.0;3;19;12;3;1;2020
2020-03-19;Thailand;-6.0;-18.0;8.0;-16.0;-26.0;-14.0;3;19;12;3;1;2020
2020-03-20;South Korea;-1.0;24.0;8.5;-20.5;-16.5;-6.0;4;20;12;3;1;2020
2020-03-20;Thailand;-5.0;-24.0;9.0;-20.0;-30.0;-15.0;4;20;12;3;1;2020
2020-03-21;South Korea;4.5;38.0;7.5;-22.5;-17.5;-5.0;5;21;12;3;1;2020
2020-03-21;Thailand;-4.0;-35.0;8.0;-24.0;-33.0;-4.0;5;21;12;3;1;2020
2020-03-22;South Korea;-8.0;68.0;7.0;-21.5;-17.5;-12.5;6;22;12;3;1;2020
2020-03-22;Thailand;-10.0;-35.0;9.0;-36.0;-41.0;-10.0;6;22;12;3;1;2020
2020-03-23;South Korea;7.0;53.0;7.0;-16.0;-13.5;-5.5;0;23;13;3;1;2020
2020-03-23;Thailand;-11.0;-29.0;11.0;-32.0;-39.0;-20.0;0;23;13;3;1;2020
2020-03-24;South Korea;1.5;48.5;5.5;-15.0;-12.0;-6.0;1;24;13;3;1;2020
2020-03-24;Thailand;-8.0;-32.0;12.0;-34.0;-42.0;-23.0;1;24;13;3;1;2020
2020-03-25;South Korea;0.5;61.5;7.0;-19.0;-14.0;-7.5;2;25;13;3;1;2020
2020-03-25;Thailand;-8.0;-34.0;12.0;-35.0;-42.0;-24.0;2;25;13;3;1;2020
2020-03-26;South Korea;-6.0;15.0;8.0;-24.5;-20.0;-7.0;3;26;13;3;1;2020
2020-03-26;Thailand;-18.0;-40.0;15.0;-43.0;-50.0;-26.0;3;26;13;3;1;2020
2020-03-27;South Korea;-2.0;19.0;9.5;-22.0;-18.5;-7.5;4;27;13;3;1;2020
2020-03-27;Thailand;-19.0;-44.0;17.0;-46.0;-54.0;-26.0;4;27;13;3;1;2020
2020-03-28;South Korea;3.0;29.0;8.0;-23.5;-18.5;-7.0;5;28;13;3;1;2020
2020-03-28;Thailand;-25.0;-55.0;16.0;-51.0;-57.0;-14.0;5;28;13;3;1;2020
2020-03-29;South Korea;11.5;68.5;6.0;-20.5;-17.5;-12.0;6;29;13;3;1;2020
2020-03-29;Thailand;-27.0;-54.0;16.0;-55.0;-61.0;-21.0;6;29;13;3;1;2020
2020-03-30;South Korea;5.0;64.5;7.0;-14.5;-12.5;-6.0;0;30;14;3;1;2020
2020-03-30;Thailand;-19.0;-42.0;16.0;-44.0;-53.0;-27.0;0;30;14;3;1;2020
2020-03-31;South Korea;3.0;61.5;5.5;-10.0;-9.0;-5.0;1;31;14;3;1;2020
2020-03-31;Thailand;-14.0;-42.0;15.0;-42.0;-53.0;-28.0;1;31;14;3;1;2020
2020-04-01;South Korea;0.5;48.0;7.5;-18.5;-15.0;-7.5;2;1;14;4;2;2020
2020-04-01;Thailand;-16.0;-41.0;16.0;-43.0;-55.0;-30.0;2;1;14;4;2;2020
2020-04-02;South Korea;-1.5;51.5;7.0;-19.0;-15.0;-6.5;3;2;14;4;2;2020
2020-04-02;Thailand;-18.0;-44.0;17.0;-45.0;-57.0;-30.0;3;2;14;4;2;2020
2020-04-03;South Korea;1.0;45.5;7.5;-18.5;-13.0;-6.5;4;3;14;4;2;2020
2020-04-03;Thailand;-19.0;-48.0;19.0;-48.0;-60.0;-30.0;4;3;14;4;2;2020
2020-04-04;South Korea;5.0;34.0;7.0;-21.0;-16.0;-8.5;5;4;14;4;2;2020
2020-04-04;Thailand;-21.0;-58.0;17.0;-51.0;-62.0;-19.0;5;4;14;4;2;2020
2020-04-05;South Korea;14.0;58.5;6.0;-19.0;-15.5;-13.5;6;5;14;4;2;2020
2020-04-05;Thailand;-23.0;-57.0;17.0;-54.0;-66.0;-25.0;6;5;14;4;2;2020
2020-04-06;South Korea;6.5;55.5;6.5;-13.0;-10.0;-3.5;0;6;15;4;2;2020
2020-04-06;Thailand;-17.0;-49.0;23.0;-47.0;-67.0;-49.0;0;6;15;4;2;2020
2020-04-07;South Korea;3.0;48.0;5.0;-11.5;-9.0;-4.0;1;7;15;4;2;2020
2020-04-07;Thailand;-17.0;-45.0;17.0;-45.0;-58.0;-32.0;1;7;15;4;2;2020
2020-04-08;South Korea;0.0;50.0;6.5;-17.5;-13.5;-5.5;2;8;15;4;2;2020
2020-04-08;Thailand;-21.0;-45.0;18.0;-46.0;-60.0;-32.0;2;8;15;4;2;2020
2020-04-09;South Korea;-1.5;39.5;6.5;-18.5;-14.5;-4.5;3;9;15;4;2;2020
2020-04-09;Thailand;-21.0;-45.0;18.0;-47.0;-60.0;-32.0;3;9;15;4;2;2020
2020-04-10;South Korea;3.0;33.5;7.0;-16.5;-11.5;-5.5;4;10;15;4;2;2020
2020-04-10;Thailand;-18.0;-48.0;20.0;-48.0;-61.0;-32.0;4;10;15;4;2;2020
2020-04-11;South Korea;11.0;33.0;6.0;-17.0;-11.5;-7.0;5;11;15;4;2;2020
2020-04-11;Thailand;-21.0;-57.0;17.0;-51.0;-63.0;-22.0;5;11;15;4;2;2020
2020-04-12;South Korea;-9.0;28.0;6.5;-20.5;-18.5;-13.0;6;12;15;4;2;2020
2020-04-12;Thailand;-22.0;-56.0;17.0;-54.0;-66.0;-24.0;6;12;15;4;2;2020
2020-04-13;South Korea;11.0;57.5;6.0;-10.0;-9.0;-3.5;0;13;16;4;2;2020
2020-04-13;Thailand;-22.0;-47.0;20.0;-49.0;-62.0;-35.0;0;13;16;4;2;2020
2020-04-14;South Korea;10.5;59.0;2.5;-2.5;-3.0;-3.5;1;14;16;4;2;2020
2020-04-14;Thailand;-17.0;-45.0;19.0;-46.0;-61.0;-36.0;1;14;16;4;2;2020
2020-04-15;South Korea;24.5;122.0;18.5;-5.0;-18.5;-52.5;2;15;16;4;2;2020
2020-04-15;Thailand;-17.0;-44.0;19.0;-46.0;-60.0;-35.0;2;15;16;4;2;2020
2020-04-16;South Korea;-1.5;44.0;6.0;-18.0;-13.0;-4.0;3;16;16;4;2;2020
2020-04-16;Thailand;-19.0;-44.0;19.0;-46.0;-60.0;-33.0;3;16;16;4;2;2020
2020-04-17;South Korea;-6.5;-12.0;9.5;-23.0;-18.5;-6.0;4;17;16;4;2;2020
2020-04-17;Thailand;-19.0;-48.0;21.0;-49.0;-62.0;-33.0;4;17;16;4;2;2020
2020-04-18;South Korea;9.0;59.0;5.5;-13.5;-9.0;-4.0;5;18;16;4;2;2020
2020-04-18;Thailand;-21.0;-57.0;17.0;-51.0;-61.0;-20.0;5;18;16;4;2;2020
2020-04-19;South Korea;2.0;-11.0;7.0;-24.5;-23.5;-12.0;6;19;16;4;2;2020
2020-04-19;Thailand;-23.0;-55.0;16.0;-53.0;-63.0;-22.0;6;19;16;4;2;2020
2020-04-20;South Korea;5.0;19.0;6.5;-13.5;-11.5;-2.5;0;20;17;4;2;2020
2020-04-20;Thailand;-16.0;-44.0;17.0;-43.0;-57.0;-29.0;0;20;17;4;2;2020
2020-04-21;South Korea;-0.5;8.5;4.5;-12.0;-10.0;-2.0;1;21;17;4;2;2020
2020-04-21;Thailand;-17.0;-45.0;17.0;-44.0;-58.0;-30.0;1;21;17;4;2;2020
2020-04-22;South Korea;-4.0;3.5;6.5;-18.5;-15.5;-4.0;2;22;17;4;2;2020
2020-04-22;Thailand;-20.0;-45.0;17.0;-45.0;-59.0;-30.0;2;22;17;4;2;2020
2020-04-23;South Korea;-1.0;16.0;5.5;-16.0;-13.5;-2.0;3;23;17;4;2;2020
2020-04-23;Thailand;-21.0;-45.0;17.0;-46.0;-59.0;-30.0;3;23;17;4;2;2020
2020-04-24;South Korea;2.5;17.5;6.0;-14.0;-10.0;-2.0;4;24;17;4;2;2020
2020-04-24;Thailand;-17.0;-48.0;19.0;-46.0;-60.0;-29.0;4;24;17;4;2;2020
2020-04-25;South Korea;10.0;30.5;5.0;-13.0;-9.0;-3.5;5;25;17;4;2;2020
2020-04-25;Thailand;-22.0;-57.0;17.0;-50.0;-61.0;-19.0;5;25;17;4;2;2020
2020-04-26;South Korea;1.0;73.5;3.5;-7.0;-5.5;-8.0;6;26;17;4;2;2020
2020-04-26;Thailand;-19.0;-54.0;15.0;-50.0;-62.0;-22.0;6;26;17;4;2;2020
2020-04-27;South Korea;12.0;47.0;4.5;-6.5;-6.5;-1.0;0;27;18;4;2;2020
2020-04-27;Thailand;-15.0;-45.0;17.0;-42.0;-57.0;-28.0;0;27;18;4;2;2020
2020-04-28;South Korea;9.0;50.0;2.0;-3.5;-2.0;-1.0;1;28;18;4;2;2020
2020-04-28;Thailand;-12.0;-43.0;15.0;-41.0;-56.0;-29.0;1;28;18;4;2;2020
2020-04-29;South Korea;17.5;64.0;0.0;-2.0;1.0;-3.0;2;29;18;4;2;2020
2020-04-29;Thailand;-15.0;-43.0;15.0;-42.0;-55.0;-29.0;2;29;18;4;2;2020
2020-04-30;South Korea;26.5;149.0;12.0;2.5;-11.5;-56.0;3;30;18;4;2;2020
2020-04-30;Thailand;-2.0;-39.0;14.0;-44.0;-47.0;-28.0;3;30;18;4;2;2020
2020-05-01;South Korea;17.5;106.0;14.0;-5.5;-16.0;-48.0;4;1;18;5;2;2020
2020-05-01;Thailand;3.0;-42.0;23.0;-46.0;-56.0;-54.0;4;1;18;5;2;2020
2020-05-02;South Korea;6.0;56.5;2.0;-13.5;-7.5;-15.0;5;2;18;5;2;2020
2020-05-02;Thailand;-5.0;-50.0;15.0;-48.0;-50.0;-23.0;5;2;18;5;2;2020
2020-05-03;South Korea;19.5;56.5;0.5;-6.0;-3.5;-8.5;6;3;18;5;2;2020
2020-05-03;Thailand;-3.0;-46.0;13.0;-46.0;-50.0;-17.0;6;3;18;5;2;2020
2020-05-04;South Korea;30.0;92.5;5.5;13.0;-2.0;-19.0;0;4;19;5;2;2020
2020-05-04;Thailand;-6.0;-39.0;19.0;-42.0;-56.0;-44.0;0;4;19;5;2;2020
2020-05-05;South Korea;25.0;117.0;15.5;14.0;-16.5;-58.5;1;5;19;5;2;2020
2020-05-05;Thailand;2.0;-35.0;13.0;-38.0;-43.0;-28.0;1;5;19;5;2;2020
2020-05-06;South Korea;9.5;53.5;3.0;-10.0;-4.5;-0.5;2;6;19;5;2;2020
2020-05-06;Thailand;-1.0;-34.0;21.0;-38.0;-54.0;-50.0;2;6;19;5;2;2020
2020-05-07;South Korea;7.5;47.5;2.5;-7.0;-3.5;-1.0;3;7;19;5;2;2020
2020-05-07;Thailand;-3.0;-34.0;14.0;-38.0;-45.0;-25.0;3;7;19;5;2;2020
2020-05-08;South Korea;7.5;27.5;3.0;-6.0;-1.0;-1.0;4;8;19;5;2;2020
2020-05-08;Thailand;-1.0;-37.0;16.0;-40.0;-47.0;-25.0;4;8;19;5;2;2020
2020-05-09;South Korea;-2.0;-35.0;7.0;-19.0;-19.0;-7.0;5;9;19;5;2;2020
2020-05-09;Thailand;-4.0;-46.0;13.0;-41.0;-47.0;-12.0;5;9;19;5;2;2020
2020-05-10;South Korea;0.5;41.0;3.0;-7.5;-5.0;-5.5;6;10;19;5;2;2020
2020-05-10;Thailand;-4.0;-41.0;12.0;-41.0;-49.0;-14.0;6;10;19;5;2;2020
2020-05-11;South Korea;14.5;48.0;3.5;-4.0;-3.0;-0.5;0;11;20;5;2;2020
2020-05-11;Thailand;-7.0;-39.0;17.0;-40.0;-50.0;-34.0;0;11;20;5;2;2020
2020-05-12;South Korea;8.5;41.0;2.5;-3.5;-2.0;-1.0;1;12;20;5;2;2020
2020-05-12;Thailand;2.0;-32.0;13.0;-34.0;-42.0;-24.0;1;12;20;5;2;2020
2020-05-13;South Korea;8.0;61.0;3.5;-8.0;-5.0;-2.0;2;13;20;5;2;2020
2020-05-13;Thailand;-2.0;-32.0;13.0;-36.0;-43.0;-24.0;2;13;20;5;2;2020
2020-05-14;South Korea;7.5;51.0;3.0;-9.0;-6.5;-2.0;3;14;20;5;2;2020
2020-05-14;Thailand;-3.0;-33.0;13.0;-36.0;-44.0;-24.0;3;14;20;5;2;2020
2020-05-15;South Korea;-3.0;-19.5;6.5;-18.0;-14.5;-5.0;4;15;20;5;2;2020
2020-05-15;Thailand;1.0;-34.0;13.0;-36.0;-45.0;-24.0;4;15;20;5;2;2020
2020-05-16;South Korea;12.5;31.5;4.5;-10.0;-8.0;-4.0;5;16;20;5;2;2020
2020-05-16;Thailand;-2.0;-43.0;12.0;-37.0;-46.0;-12.0;5;16;20;5;2;2020
2020-05-17;South Korea;26.5;69.0;2.5;-2.5;-3.0;-4.0;6;17;20;5;2;2020
2020-05-17;Thailand;0.0;-39.0;10.0;-32.0;-42.0;-10.0;6;17;20;5;2;2020
2020-05-18;South Korea;2.5;11.5;5.5;-11.5;-10.0;-2.5;0;18;21;5;2;2020
2020-05-18;Thailand;0.0;-33.0;12.0;-29.0;-40.0;-22.0;0;18;21;5;2;2020
2020-05-19;South Korea;8.0;20.5;4.0;-5.0;-6.5;-2.5;1;19;21;5;2;2020
2020-05-19;Thailand;0.0;-31.0;12.0;-29.0;-40.0;-23.0;1;19;21;5;2;2020
2020-05-20;South Korea;12.5;63.0;2.5;-5.5;-3.5;-3.0;2;20;21;5;2;2020
2020-05-20;Thailand;1.0;-29.0;12.0;-28.0;-39.0;-23.0;2;20;21;5;2;2020
2020-05-21;South Korea;7.5;54.5;2.5;-6.0;-5.0;-2.5;3;21;21;5;2;2020
2020-05-21;Thailand;0.0;-30.0;13.0;-28.0;-39.0;-23.0;3;21;21;5;2;2020
2020-05-22;South Korea;7.5;41.5;3.5;-8.0;-4.5;-2.5;4;22;21;5;2;2020
2020-05-22;Thailand;1.0;-32.0;14.0;-30.0;-41.0;-22.0;4;22;21;5;2;2020
2020-05-23;South Korea;14.0;63.5;2.0;-5.5;-2.0;-2.0;5;23;21;5;2;2020
2020-05-23;Thailand;-2.0;-42.0;11.0;-32.0;-41.0;-10.0;5;23;21;5;2;2020
2020-05-24;South Korea;3.5;48.5;3.5;-5.0;-6.5;-6.0;6;24;21;5;2;2020
2020-05-24;Thailand;-3.0;-37.0;10.0;-32.0;-42.0;-11.0;6;24;21;5;2;2020
2020-05-25;South Korea;18.5;63.0;3.0;-0.5;-2.0;-1.5;0;25;22;5;2;2020
2020-05-25;Thailand;1.0;-31.0;12.0;-27.0;-39.0;-23.0;0;25;22;5;2;2020
2020-05-26;South Korea;8.0;32.5;2.0;-2.5;-3.0;-1.0;1;26;22;5;2;2020
2020-05-26;Thailand;-1.0;-31.0;12.0;-28.0;-39.0;-22.0;1;26;22;5;2;2020
2020-05-27;South Korea;11.0;68.5;1.5;-4.5;-2.5;-2.0;2;27;22;5;2;2020
2020-05-27;Thailand;1.0;-28.0;12.0;-26.0;-37.0;-22.0;2;27;22;5;2;2020
2020-05-28;South Korea;7.5;52.0;2.5;-8.0;-5.5;-1.0;3;28;22;5;2;2020
2020-05-28;Thailand;-1.0;-31.0;12.0;-28.0;-38.0;-21.0;3;28;22;5;2;2020
2020-05-29;South Korea;9.0;48.0;3.0;-8.0;-3.5;-1.5;4;29;22;5;2;2020
2020-05-29;Thailand;5.0;-31.0;13.0;-27.0;-38.0;-21.0;4;29;22;5;2;2020
2020-05-30;South Korea;11.0;52.0;2.5;-9.0;-5.0;-3.0;5;30;22;5;2;2020
2020-05-30;Thailand;4.0;-38.0;10.0;-25.0;-34.0;-8.0;5;30;22;5;2;2020
2020-05-31;South Korea;22.0;51.0;2.5;-5.5;-5.5;-4.5;6;31;22;5;2;2020
2020-05-31;Thailand;5.0;-32.0;8.0;-24.0;-34.0;-7.0;6;31;22;5;2;2020
2020-06-01;South Korea;17.5;63.0;2.5;-2.0;-2.0;-0.5;0;1;23;6;2;2020
2020-06-01;Thailand;7.0;-26.0;10.0;-21.0;-31.0;-19.0;0;1;23;6;2;2020
2020-06-02;South Korea;7.0;29.0;2.0;-7.0;-4.0;-0.5;1;2;23;6;2;2020
2020-06-02;Thailand;4.0;-27.0;10.0;-22.0;-32.0;-21.0;1;2;23;6;2;2020
2020-06-03;South Korea;11.0;57.0;2.5;-7.5;-4.0;-1.5;2;3;23;6;2;2020
2020-06-03;Thailand;7.0;-20.0;18.0;-16.0;-40.0;-51.0;2;3;23;6;2;2020
2020-06-04;South Korea;6.0;41.0;2.5;-9.5;-6.0;-1.0;3;4;23;6;2;2020
2020-06-04;Thailand;2.0;-26.0;11.0;-24.0;-32.0;-20.0;3;4;23;6;2;2020
2020-06-05;South Korea;10.0;45.0;2.5;-7.5;-2.5;-2.5;4;5;23;6;2;2020
2020-06-05;Thailand;4.0;-28.0;12.0;-23.0;-37.0;-20.0;4;5;23;6;2;2020
2020-06-06;South Korea;11.5;51.0;3.5;-10.0;-8.5;-16.0;5;6;23;6;2;2020
2020-06-06;Thailand;1.0;-35.0;9.0;-22.0;-36.0;-7.0;5;6;23;6;2;2020
2020-06-07;South Korea;23.5;52.0;1.5;-5.0;-5.5;-5.5;6;7;23;6;2;2020
2020-06-07;Thailand;3.0;-27.0;7.0;-20.0;-36.0;-7.0;6;7;23;6;2;2020
2020-06-08;South Korea;15.5;54.5;2.0;-3.0;-2.5;0.0;0;8;24;6;2;2020
2020-06-08;Thailand;3.0;-24.0;10.0;-19.0;-34.0;-18.0;0;8;24;6;2;2020
2020-06-09;South Korea;9.5;42.0;1.0;-2.0;-1.5;0.0;1;9;24;6;2;2020
2020-06-09;Thailand;1.0;-25.0;10.0;-20.0;-35.0;-20.0;1;9;24;6;2;2020
2020-06-10;South Korea;2.0;21.5;3.0;-11.0;-6.5;-1.5;2;10;24;6;2;2020
2020-06-10;Thailand;3.0;-22.0;10.0;-18.0;-33.0;-19.0;2;10;24;6;2;2020
2020-06-11;South Korea;8.0;38.0;2.5;-7.0;-7.0;-0.5;3;11;24;6;2;2020
2020-06-11;Thailand;2.0;-22.0;10.0;-18.0;-35.0;-19.0;3;11;24;6;2;2020
2020-06-12;South Korea;7.5;37.0;3.0;-8.0;-5.0;-2.0;4;12;24;6;2;2020
2020-06-12;Thailand;4.0;-23.0;11.0;-19.0;-35.0;-20.0;4;12;24;6;2;2020
2020-06-13;South Korea;10.0;22.0;4.0;-8.0;-10.0;-5.5;5;13;24;6;2;2020
2020-06-13;Thailand;3.0;-30.0;8.0;-18.0;-33.0;-7.0;5;13;24;6;2;2020
2020-06-14;South Korea;0.0;40.5;3.0;-5.5;-9.0;-7.0;6;14;24;6;2;2020
2020-06-14;Thailand;2.0;-25.0;7.0;-18.0;-36.0;-6.0;6;14;24;6;2;2020
2020-06-15;South Korea;18.5;62.0;1.5;0.0;-2.0;1.0;0;15;25;6;2;2020
2020-06-15;Thailand;4.0;-24.0;9.0;-16.0;-33.0;-19.0;0;15;25;6;2;2020
2020-06-16;South Korea;10.5;49.0;0.5;-0.5;-0.5;1.0;1;16;25;6;2;2020
2020-06-16;Thailand;2.0;-24.0;10.0;-18.0;-33.0;-20.0;1;16;25;6;2;2020
2020-06-17;South Korea;10.0;54.5;2.0;-6.5;-4.0;-0.5;2;17;25;6;2;2020
2020-06-17;Thailand;-2.0;-26.0;10.0;-19.0;-33.0;-21.0;2;17;25;6;2;2020
2020-06-18;South Korea;3.0;37.0;2.0;-9.0;-8.0;-0.5;3;18;25;6;2;2020
2020-06-18;Thailand;3.0;-22.0;9.0;-13.0;-33.0;-20.0;3;18;25;6;2;2020
2020-06-19;South Korea;8.0;43.5;2.0;-7.0;-4.0;-1.5;4;19;25;6;2;2020
2020-06-19;Thailand;3.0;-23.0;10.0;-15.0;-34.0;-20.0;4;19;25;6;2;2020
2020-06-20;South Korea;8.5;46.0;1.5;-8.0;-6.0;-5.5;5;20;25;6;2;2020
2020-06-20;Thailand;4.0;-27.0;6.0;-12.0;-31.0;-6.0;5;20;25;6;2;2020
2020-06-21;South Korea;19.0;45.0;1.0;-5.5;-6.5;-6.0;6;21;25;6;2;2020
2020-06-21;Thailand;3.0;-21.0;6.0;-13.0;-34.0;-6.0;6;21;25;6;2;2020
2020-06-22;South Korea;13.0;50.5;2.0;-3.0;-3.5;-1.0;0;22;26;6;2;2020
2020-06-22;Thailand;2.0;-22.0;8.0;-12.0;-33.0;-20.0;0;22;26;6;2;2020
2020-06-23;South Korea;10.0;46.0;0.0;-1.0;-0.5;0.0;1;23;26;6;2;2020
2020-06-23;Thailand;5.0;-19.0;8.0;-11.0;-31.0;-20.0;1;23;26;6;2;2020
2020-06-24;South Korea;-6.5;-7.5;4.0;-17.5;-13.0;-2.0;2;24;26;6;2;2020
2020-06-24;Thailand;3.0;-18.0;8.0;-11.0;-30.0;-19.0;2;24;26;6;2;2020
